Fecha,open,high,low,close,volume,marketCap
14/07/2021,"2,299,516,567","2,420,439,961","210,476,129","2,319,563,391","15328906,7","$0,00"
15/07/2021,"2,319,833,752","2,348,090,439","2,113,244,742","2,175,803,687","13452177,32","$0,00"
16/07/2021,"2,177,756,831","2,241,840,204","2,070,499,094","2,085,010,766","22974340,84","$0,00"
17/07/2021,"2,084,192,573","2,126,239,654","2,036,813,495","2,102,961,504","23090120,84","$0,00"
18/07/2021,"2,103,003,489","2,352,834,171","2,044,969,422","2,059,336,561","21449321,86","$0,00"
19/07/2021,"2,058,945,769","2,071,353,058","1,654,140,319","1,808,281,382","36932608,04","$0,00"
20/07/2021,"1,810,378,474","1,890,208,142","1,611,576,234","1,744,616,975","39360029,68","$0,00"
21/07/2021,"1,744,419,608","1,939,170,943","1,710,836,692","1,837,889,653","36324670,55","$0,00"
22/07/2021,"1,838,291,594","1,867,165,837","1,760,663,648","1,811,651,639","27965817,12","$0,00"
23/07/2021,"1,811,724,638","1,838,196,021","1,737,945,237","1,803,590,931","23923538,83","$0,00"
24/07/2021,"1,804,033,232","1,894,396,677","1,799,980,532","1,882,498,481","25730970,38","$0,00"
25/07/2021,"1,882,571,451","1,882,571,451","1,794,595,139","1,834,116,054","22522488,57","$0,00"
26/07/2021,"1,836,400,656","204,910,056","1,829,629,923","1,974,983,407","38162650,03","$0,00"
27/07/2021,"1,973,421,983","1,992,042,085","1,848,631,153","1,912,296,043","30123047,4","$0,00"
28/07/2021,"1,913,061,725","1,940,922,344","1,893,572,097","1,915,451,796","23175725,7","$0,00"
29/07/2021,"1,915,446,625","2,033,062,684","189,101,883","2,007,753,653","30934433,69","$0,00"
30/07/2021,"2,008,553,344","2,872,712,005","200,063,639","2,833,243,694","88404102,72","$0,00"
31/07/2021,"2,830,115,257","2,848,116,026","2,442,468,036","2,653,750,863","56892356,41","$0,00"
01/08/2021,"2,644,538,922","2,663,756,193","2,252,294,089","2,335,005,845","41629974,8","$0,00"
02/08/2021,"2,338,040,004","2,376,884,794","2,262,409,161","226,889,795","31878121,37","$0,00"
03/08/2021,"2,269,374,148","2,334,670,913","212,390,438","2,209,692,132","32869536,42","$0,00"
04/08/2021,"2,212,948,991","2,366,929,182","2,143,357,246","2,313,578,763","33862011,06","$0,00"
05/08/2021,"2,314,240,928","232,473,243","2,201,881,679","2,300,557,415","29988313,39","$0,00"
06/08/2021,"230,014,066","2,693,266,884","2,257,439,675","2,545,637,847","43958460,9","$0,00"
07/08/2021,"2,543,892,819","2,770,376,692","2,490,081,004","2,689,318,379","51987000,96","$0,00"
08/08/2021,"2,691,417,362","2,712,847,055","23,321,134","2,428,301,982","39625146,42","$0,00"
09/08/2021,"2,432,519,473","2,759,672,823","2,349,376,643","2,631,042,975","51253015,97","$0,00"
10/08/2021,"2,628,964,744","2,697,919,638","2,473,272,691","2,558,673,854",44272243,"$0,00"
11/08/2021,"2,559,048,129","2,800,489,085","2,554,302,903","2,664,776,041","50206295,4","$0,00"
12/08/2021,"2,664,216,188","2,947,498,622","2,536,505,038","2,689,272,047","58694332,46","$0,00"
13/08/2021,"268,649,066","2,802,949,773","2,646,194,555","2,786,920,125","44037571,77","$0,00"
14/08/2021,"2,785,275,069","2,796,518,764","2,606,098,718","2,696,752,609","33591057,1","$0,00"
15/08/2021,"2,696,852,368","2,714,574,971","2,558,627,652","2,677,502,496","29640148,02","$0,00"
16/08/2021,"2,674,624,277","2,732,400,266","2,608,016,716","2,645,285,647","36012461,9","$0,00"
17/08/2021,"263,818,771","2,680,291,396","2,481,176,737","2,487,816,062","36090341,77","$0,00"
18/08/2021,"2,487,947,724","2,531,566,311","2,351,560,546","2,436,696,789","35941728,98","$0,00"
19/08/2021,"2,436,453,665","2,487,866,095","2,367,770,292","2,474,381,442","26772167,02","$0,00"
20/08/2021,"2,474,439,428","2,589,012,611","2,460,727,024","2,558,358,425","29555825,21","$0,00"
21/08/2021,"2,557,246,259","2,580,819,836","2,481,993,474","2,579,172,498","22536667,73","$0,00"
22/08/2021,"2,578,268,244","2,640,645,865","2,492,449,625","2,567,966,723","29945851,65","$0,00"
23/08/2021,"2,564,887,583","262,653,672","2,543,845,484","2,590,002,261","28202700,88","$0,00"
24/08/2021,"25,905,746","276,243,675","2,501,674,963","2,541,141,383","45145481,27","$0,00"
25/08/2021,"2,543,054,305","2,644,515,268","2,490,909,391","254,442,623","32996957,43","$0,00"
26/08/2021,"2,538,382,177","2,574,650,456","2,412,388,415","2,460,154,659","26783149,47","$0,00"
27/08/2021,"2,459,614,028","2,545,484,599","2,397,825,586","2,537,909,235","25509089,74","$0,00"
28/08/2021,"253,741,083","2,542,319,683","2,424,906,101","2,445,735,844","19313642,55","$0,00"
29/08/2021,"2,446,892,054","248,591,107","2,379,589,804","2,426,346,022","22099751,34","$0,00"
30/08/2021,"2,424,753,218","2,424,753,218","2,209,103,591","2,221,595,195","25040849,48","$0,00"
31/08/2021,"2,218,384,057","2,297,229,872","19,128,864","2,218,233,936","53380666,43","$350.974.075,25"
01/09/2021,"2,219,425,983","2,273,368,233","2,149,660,366","2,248,291,935","27237791,26","$355.729.921,07"
02/09/2021,"2,248,537,407","2,254,628,816","2,193,965,261","2,225,835,155","25214305,4","$352.176.757,65"
03/09/2021,"2,225,438,437","2,256,587,187","2,165,204,327","2,189,460,928","27668102,91","$346.421.543,71"
04/09/2021,"2,189,311,294","2,263,919,211","2,172,437,926","2,246,179,973","26601493,77","$355.395.761,52"
05/09/2021,"2,245,576,041","2,735,125,002","2,240,695,471","2,618,043,203","90404549,73","$414.232.817,00"
06/09/2021,"2,618,214,742","2,889,412,938","2,524,001,787","2,548,898,706","77662481,65","$403.292.615,67"
07/09/2021,"2,548,682,812","2,561,686,824","2,011,263,877","222,855,863","97750935,38","$352.607.672,12"
08/09/2021,"2,225,857,506","2,278,318,037","2,053,916,065","2,165,592,633","69831131,16","$342.645.047,31"
09/09/2021,"2,123,681,271","2,272,024,428","2,109,580,242","2,223,108,585","47635841,62","$351.745.353,45"
10/09/2021,"2,226,292,244","2,260,480,955","2,004,630,654","2,093,609,876","48169159,31","$331.255.769,83"
11/09/2021,"2,093,429,318","2,147,312,065","2,053,708,472","2,121,809,748","32315987,69","$335.717.618,45"
12/09/2021,"2,121,400,249","2,181,780,339","207,367,594","212,093,728","33741922,52","$335.579.574,58"
13/09/2021,"2,121,172,265","2,132,876,714","1,982,717,965","2,080,728,646","39914238,57","$329.217.671,99"
14/09/2021,"2,080,568,408","2,155,985,839","2,059,453,359","2,147,382,733","30045893,49","$339.763.835,02"
15/09/2021,"2,146,925,229","2,159,849,869","2,096,508,211","2,139,274,665","24600920,94","$338.480.957,77"
16/09/2021,"2,138,926,181","2,156,993,248","2,099,411,029","2,130,103,703",24118536,"$337.029.907,12"
17/09/2021,"2,130,352,459","2,241,702,493","2,080,867,402","2,148,925,706","30661457,45","$340.007.967,66"
18/09/2021,"2,149,552,128","2,195,551,234","2,116,506,902","2,123,365,066","21979847,56","$335.963.704,47"
19/09/2021,"2,123,594,775","2,138,775,939","2,098,153,135","2,110,005,155","18294843,39","$333.849.868,71"
20/09/2021,"2,109,143,221","2,111,013,615","1,848,592,498","196,688,678","47975344,27","$311.205.350,17"
21/09/2021,"1,974,846,741","2,164,234,258","1,881,776,367","200,143,839","55897667,35","$316.672.185,32"
