Banco de México,
,
,
,
,
Fecha de consulta: 06/02/2026 05:24:24,
,
,
,
Título,"Indicador global de la actividad económica (IGAE) Base 2018, Serie desestacionalizada, Total"
Periodo disponible,Ene 1993 - Nov 2025
Periodicidad,Mensual
Cifra,Indices
Unidad,Sin Unidad
Base,2018=100
Aviso,
Tipo de información,
Fecha,SR17693
Jun 2011,85.8818
Jul 2011,86.1184
Ago 2011,86.8447
Sep 2011,86.9280
Oct 2011,86.9878
Nov 2011,87.6004
Dic 2011,87.5420
Ene 2012,88.3959
Feb 2012,88.5386
Mar 2012,88.6818
Abr 2012,88.9029
May 2012,88.5087
Jun 2012,89.0996
Jul 2012,89.4518
Ago 2012,88.9657
Sep 2012,89.3070
Oct 2012,89.2110
Nov 2012,90.0691
Dic 2012,89.7593
Ene 2013,89.7875
Feb 2013,89.5388
Mar 2013,89.4921
Abr 2013,89.1600
May 2013,89.9344
Jun 2013,89.6356
Jul 2013,89.7007
Ago 2013,90.2454
Sep 2013,90.1393
Oct 2013,90.4030
Nov 2013,90.1969
Dic 2013,90.7175
Ene 2014,90.1375
Feb 2014,91.1682
Mar 2014,91.4445
Abr 2014,91.8636
May 2014,92.5391
Jun 2014,92.2085
Jul 2014,92.7671
Ago 2014,92.1342
Sep 2014,92.3479
Oct 2014,93.0111
Nov 2014,93.1454
Dic 2014,93.0492
Ene 2015,93.2172
Feb 2015,93.4514
Mar 2015,93.6352
Abr 2015,94.5208
May 2015,93.8366
Jun 2015,94.2724
Jul 2015,95.0274
Ago 2015,94.9789
Sep 2015,96.4411
Oct 2015,95.2247
Nov 2015,94.6102
Dic 2015,94.8860
Ene 2016,95.1227
Feb 2016,95.5604
Mar 2016,95.0957
Abr 2016,95.1621
May 2016,95.5011
Jun 2016,95.9361
Jul 2016,95.8129
Ago 2016,96.1393
Sep 2016,96.7599
Oct 2016,97.0057
Nov 2016,97.2363
Dic 2016,97.7153
Ene 2017,98.0254
Feb 2017,97.5447
Mar 2017,97.8834
Abr 2017,97.8510
May 2017,97.6538
Jun 2017,98.1373
Jul 2017,97.2930
Ago 2017,98.3188
Sep 2017,97.1654
Oct 2017,98.4456
Nov 2017,99.2161
Dic 2017,99.8341
Ene 2018,99.1341
Feb 2018,99.6531
Mar 2018,100.3448
Abr 2018,99.4428
May 2018,100.1752
Jun 2018,99.9269
Jul 2018,100.2650
Ago 2018,100.5875
Sep 2018,100.6787
Oct 2018,100.5624
Nov 2018,100.0218
Dic 2018,99.6521
Ene 2019,100.1164
Feb 2019,100.5156
Mar 2019,99.2078
Abr 2019,99.6601
May 2019,99.2426
Jun 2019,99.7340
Jul 2019,99.5361
Ago 2019,99.6285
Sep 2019,100.0654
Oct 2019,99.0401
Nov 2019,99.2393
Dic 2019,99.0505
Ene 2020,99.8931
Feb 2020,99.1558
Mar 2020,95.6195
Abr 2020,77.6308
May 2020,76.1368
Jun 2020,85.1614
Jul 2020,89.5105
Ago 2020,92.1443
Sep 2020,94.6144
Oct 2020,95.6181
Nov 2020,96.3624
Dic 2020,96.0573
Ene 2021,96.0953
Feb 2021,95.8399
Mar 2021,97.3780
Abr 2021,97.2014
May 2021,97.2191
Jun 2021,97.0559
Jul 2021,96.7734
Ago 2021,96.0073
Sep 2021,95.8165
Oct 2021,96.4655
Nov 2021,97.0765
Dic 2021,97.6241
Ene 2022,98.2279
Feb 2022,98.6738
Mar 2022,99.0774
Abr 2022,99.6950
May 2022,99.7503
Jun 2022,99.4666
Jul 2022,100.1248
Ago 2022,100.5469
Sep 2022,100.7016
Oct 2022,101.1283
Nov 2022,101.6595
Dic 2022,102.5157
Ene 2023,102.4602
Feb 2023,102.0046
Mar 2023,101.6495
Abr 2023,102.5607
May 2023,102.8467
Jun 2023,103.2725
Jul 2023,103.4879
Ago 2023,103.7073
Sep 2023,104.6003
Oct 2023,104.6327
Nov 2023,103.8919
Dic 2023,104.3531
Ene 2024,104.0629
Feb 2024,104.4362
Mar 2024,104.7499
Abr 2024,103.3270
May 2024,104.3665
Jun 2024,104.4143
Jul 2024,105.6900
Ago 2024,104.6925
Sep 2024,105.0478
Oct 2024,104.0239
Nov 2024,104.4755
Dic 2024,103.6121
Ene 2025,103.8295
Feb 2025,104.7204
Mar 2025,104.5573
Abr 2025,104.6633
May 2025,104.9731
Jun 2025,105.0106
Jul 2025,104.6679
Ago 2025,105.1131
Sep 2025,104.6791
Oct 2025,105.7608
Nov 2025,105.5897
